collection_name,dataset_name,train_path,test_path,dataset_type,datetime_index,split_at,train_type,train_is_normal,input_type,length,dimensions,contamination,num_anomalies,min_anomaly_length,median_anomaly_length,max_anomaly_length,mean,stddev,trend,stationarity,period_size
SMD,machine-2-1,multivariate/SMD/machine-2-1.train.csv,multivariate/SMD/machine-2-1.test.csv,real,False,,semi-supervised,True,multivariate,23694,38,0.0493795897695619,13,8,26,452,0.1036797469512601,0.0587872421591351,kubic trend,not_stationary,
SMD,machine-2-3,multivariate/SMD/machine-2-3.train.csv,multivariate/SMD/machine-2-3.test.csv,real,False,,semi-supervised,True,multivariate,23689,38,0.0113554814470851,10,3,7,91,0.0877372869564154,0.0325356099952286,kubic trend,not_stationary,
SMD,machine-2-4,multivariate/SMD/machine-2-4.train.csv,multivariate/SMD/machine-2-4.test.csv,real,False,,semi-supervised,True,multivariate,23689,38,0.0715099835366625,20,3,4,401,0.1035402469689462,0.0575039247697409,kubic trend,not_stationary,
SMD,machine-2-5,multivariate/SMD/machine-2-5.train.csv,multivariate/SMD/machine-2-5.test.csv,real,False,,semi-supervised,True,multivariate,23689,38,0.0413694119633585,21,3,7,371,0.0931758912919831,0.0577833613695001,kubic trend,not_stationary,
SMD,machine-2-6,multivariate/SMD/machine-2-6.train.csv,multivariate/SMD/machine-2-6.test.csv,real,False,,semi-supervised,True,multivariate,28743,38,0.0147514177364923,8,3,30,118,0.1407644362957022,0.0624859626220633,kubic trend,not_stationary,
SMD,machine-2-7,multivariate/SMD/machine-2-7.train.csv,multivariate/SMD/machine-2-7.test.csv,real,False,,semi-supervised,True,multivariate,23696,38,0.0175979068197164,20,2,3,305,0.0935543697392853,0.0592492209223371,kubic trend,not_stationary,
SMD,machine-2-8,multivariate/SMD/machine-2-8.train.csv,multivariate/SMD/machine-2-8.test.csv,real,False,,semi-supervised,True,multivariate,23703,38,0.0067923891490528,1,161,161,161,0.1078795048694702,0.0707850480572789,kubic trend,not_stationary,
SMD,machine-2-9,multivariate/SMD/machine-2-9.train.csv,multivariate/SMD/machine-2-9.test.csv,real,False,,semi-supervised,True,multivariate,28722,38,0.0611029872571547,10,2,192,414,0.0869617590275563,0.0484580997822521,kubic trend,not_stationary,
SMD,machine-3-1,multivariate/SMD/machine-3-1.train.csv,multivariate/SMD/machine-3-1.test.csv,real,False,,semi-supervised,True,multivariate,28700,38,0.0107317073170731,4,21,78,131,0.1516657602549055,0.0664094875557434,kubic trend,not_stationary,
SMD,machine-3-10,multivariate/SMD/machine-3-10.train.csv,multivariate/SMD/machine-3-10.test.csv,real,False,,semi-supervised,True,multivariate,23693,38,0.0441902671675178,13,3,12,428,0.1060567359357749,0.0714666354369363,kubic trend,not_stationary,
SMD,machine-3-11,multivariate/SMD/machine-3-11.train.csv,multivariate/SMD/machine-3-11.test.csv,real,False,,semi-supervised,True,multivariate,28696,38,0.0068999163646501,3,6,66,126,0.2485375265230437,0.1002372497175308,kubic trend,not_stationary,
SMD,machine-3-3,multivariate/SMD/machine-3-3.train.csv,multivariate/SMD/machine-3-3.test.csv,real,False,,semi-supervised,True,multivariate,23703,38,0.0266632915664683,26,3,3,481,0.213610712923303,0.0876278952353004,kubic trend,not_stationary,
SMD,machine-3-4,multivariate/SMD/machine-3-4.train.csv,multivariate/SMD/machine-3-4.test.csv,real,False,,semi-supervised,True,multivariate,23687,38,0.0412462532190653,8,3,25,786,0.1355705636813886,0.0619495059465986,kubic trend,not_stationary,
SMD,machine-3-5,multivariate/SMD/machine-3-5.train.csv,multivariate/SMD/machine-3-5.test.csv,real,False,,semi-supervised,True,multivariate,23691,38,0.0179815119665695,11,3,3,151,0.1573481209031189,0.0771512558800224,kubic trend,not_stationary,
SMD,machine-3-6,multivariate/SMD/machine-3-6.train.csv,multivariate/SMD/machine-3-6.test.csv,real,False,,semi-supervised,True,multivariate,28726,38,0.0415651326324584,11,3,81,230,0.1598167025177997,0.0681264386039528,kubic trend,not_stationary,
SMD,machine-3-7,multivariate/SMD/machine-3-7.train.csv,multivariate/SMD/machine-3-7.test.csv,real,False,,semi-supervised,True,multivariate,28705,38,0.0151193171921268,5,7,35,311,0.2155742128888237,0.1054433571614101,kubic trend,not_stationary,
SMD,machine-3-8,multivariate/SMD/machine-3-8.train.csv,multivariate/SMD/machine-3-8.test.csv,real,False,,semi-supervised,True,multivariate,28704,38,0.0477633779264214,6,17,178,573,0.0800101103110514,0.0516202326028553,kubic trend,not_stationary,
SMD,machine-3-9,multivariate/SMD/machine-3-9.train.csv,multivariate/SMD/machine-3-9.test.csv,real,False,,semi-supervised,True,multivariate,28713,38,0.010552711315432,4,31,73,126,0.1525221852773455,0.0684156390947023,kubic trend,not_stationary,
SVDB,803,,multivariate/SVDB/803.test.csv,real,True,,unsupervised,False,multivariate,230400,2,0.0953993055555555,145,113,153,176,-0.0641835286458333,0.1422614332771996,no trend,difference_stationary,
SVDB,820,,multivariate/SVDB/820.test.csv,real,True,,unsupervised,False,multivariate,230400,2,0.0992100694444444,191,99,120,150,-0.0616494574652777,0.1291822223114724,no trend,difference_stationary,
SVDB,825,,multivariate/SVDB/825.test.csv,real,True,,unsupervised,False,multivariate,230400,2,0.0635763888888888,145,94,101,110,-0.1025569118923611,0.2504122754939892,no trend,difference_stationary,
SVDB,827,,multivariate/SVDB/827.test.csv,real,True,,unsupervised,False,multivariate,230400,2,0.0111067708333333,17,125,150,197,-0.00702333984375,0.31741361208085,no trend,difference_stationary,
SVDB,842,,multivariate/SVDB/842.test.csv,real,True,,unsupervised,False,multivariate,230400,2,0.0654253472222222,134,95,95,270,-0.0772987196180555,0.1718352599924136,no trend,difference_stationary,
SVDB,845,,multivariate/SVDB/845.test.csv,real,True,,unsupervised,False,multivariate,230400,2,0.0225260416666666,50,81,90,195,-0.104594921875,0.4699462472342873,no trend,difference_stationary,
SVDB,853,,multivariate/SVDB/853.test.csv,real,True,,unsupervised,False,multivariate,230400,2,0.0699696180555555,117,105,136,278,-0.00140283203125,0.359587705469871,no trend,difference_stationary,
SVDB,857,,multivariate/SVDB/857.test.csv,real,True,,unsupervised,False,multivariate,230400,2,0.0785894097222222,152,93,104,330,0.0485186306423611,0.6556702534818588,no trend,difference_stationary,36.0
SVDB,858,,multivariate/SVDB/858.test.csv,real,True,,unsupervised,False,multivariate,230400,2,0.0052560763888888,6,107,107,676,-0.0168488823784722,0.3354151938426207,no trend,difference_stationary,
SVDB,864,,multivariate/SVDB/864.test.csv,real,True,,unsupervised,False,multivariate,230400,2,0.0698871527777777,81,125,147,1001,-0.0142991427951388,0.125763331793629,no trend,difference_stationary,
SVDB,871,,multivariate/SVDB/871.test.csv,real,True,,unsupervised,False,multivariate,230400,2,0.0153515625,23,125,154,203,0.0106272026909722,0.3700859697197931,no trend,difference_stationary,
SVDB,872,,multivariate/SVDB/872.test.csv,real,True,,unsupervised,False,multivariate,230400,2,0.0555946180555555,83,134,155,172,-0.0638680881076388,0.1546915904685945,no trend,difference_stationary,
SVDB,873,,multivariate/SVDB/873.test.csv,real,True,,unsupervised,False,multivariate,230400,2,0.0372309027777777,57,137,144,275,-0.0079758029513888,0.3150914723511278,no trend,difference_stationary,
SVDB,886,,multivariate/SVDB/886.test.csv,real,True,,unsupervised,False,multivariate,230400,2,0.0274262152777777,53,105,118,153,-0.0881369140625,0.4890800545642698,no trend,difference_stationary,
SVDB,888,,multivariate/SVDB/888.test.csv,real,True,,unsupervised,False,multivariate,230400,2,0.0633637152777777,121,101,121,207,-0.0022998155381944,0.2378662258624342,no trend,difference_stationary,
SVDB,894,,multivariate/SVDB/894.test.csv,real,True,,unsupervised,False,multivariate,230400,2,0.0738975694444444,136,99,124,226,-0.0134691297743055,0.4878050568834866,no trend,difference_stationary,
